country,year,age_group_5,births,population
Denmark,2015,20-24,6342,184806
Denmark,2015,25-29,18969,170197
Denmark,2015,30-34,19885,158343
Denmark,2015,35-39,10141,178824
Denmark,2015,40-44,2161,194114
Denmark,2015,45-49,111,204582
Denmark,2016,15-19,602,170996
Denmark,2016,20-24,6649,189151
Denmark,2016,25-29,20635,177111
Denmark,2016,30-34,20816,159231
Denmark,2016,35-39,10535,174101
Denmark,2016,40-44,2259,196251
Denmark,2016,45-49,111,199814
Denmark,2017,15-19,471,170361
Denmark,2017,20-24,6575,191188
Denmark,2017,25-29,20806,183135
Denmark,2017,30-34,20881,162239
Denmark,2017,35-39,10198,170741
Denmark,2017,40-44,2314,193540
Denmark,2017,45-49,142,195034
Denmark,2018,15-19,409,168701
Denmark,2018,20-24,6022,191633
Denmark,2018,25-29,20895,189431
Denmark,2018,30-34,21541,165430
Denmark,2018,35-39,10107,168153
Denmark,2018,40-44,2345,188736
Denmark,2018,45-49,141,194163
Denmark,2019,15-19,339,168141
Denmark,2019,20-24,5454,190343
Denmark,2019,25-29,20864,193458
Denmark,2019,30-34,22097,170428
Denmark,2019,35-39,9940,164829
Denmark,2019,40-44,2303,185852
Denmark,2019,45-49,163,194245
Denmark,2020,15-19,274,167639
Denmark,2020,20-24,4694,186937
Denmark,2020,25-29,20771,196402
Denmark,2020,30-34,22773,175511
Denmark,2020,35-39,9987,162485
Denmark,2020,40-44,2268,181674
Denmark,2020,45-49,157,195744
Denmark,2021,15-19,220,166863
Denmark,2021,20-24,4367,184035
Denmark,2021,25-29,21102,197432
Denmark,2021,30-34,24280,180271
Denmark,2021,35-39,10957,162234
Denmark,2021,40-44,2343,176448
Denmark,2021,45-49,192,197743
Denmark,2022,15-19,197,167881
Denmark,2022,20-24,3908,183918
Denmark,2022,25-29,19136,198620
Denmark,2022,30-34,22784,185255
Denmark,2022,35-39,9974,164736
Denmark,2022,40-44,2211,172805
Denmark,2022,45-49,210,195133
Denmark,2023,15-19,194,170222
Denmark,2023,20-24,3548,184411
Denmark,2023,25-29,18152,200743
Denmark,2023,30-34,23119,193883
Denmark,2023,35-39,10079,170315
Denmark,2023,40-44,2144,172270
Denmark,2023,45-49,215,191621
Estonia,2015,15-19,366,29329
Estonia,2015,20-24,1991,39069
Estonia,2015,25-29,4680,47672
Estonia,2015,30-34,4048,45243
Estonia,2015,35-39,2213,43874
Estonia,2015,40-44,580,45386
Estonia,2015,45-49,26,42940
Estonia,2016,15-19,305,29062
Estonia,2016,20-24,1697,36274
Estonia,2016,25-29,4725,47371
Estonia,2016,30-34,4373,45658
Estonia,2016,35-39,2298,43888
Estonia,2016,40-44,623,44874
Estonia,2016,45-49,23,43499
Estonia,2017,15-19,293,28816
Estonia,2017,20-24,1604,34376
Estonia,2017,25-29,4438,46047
Estonia,2017,30-34,4418,46045
Estonia,2017,35-39,2337,43755
Estonia,2017,40-44,652,44538
Estonia,2017,45-49,39,44308
Estonia,2018,15-19,283,29265
Estonia,2018,20-24,1499,32464
Estonia,2018,25-29,4411,44549
Estonia,2018,30-34,4872,46744
Estonia,2018,35-39,2554,44045
Estonia,2018,40-44,705,44248
Estonia,2018,45-49,38,45053
Estonia,2019,15-19,258,29883
Estonia,2019,20-24,1454,31643
Estonia,2019,25-29,4151,41925
Estonia,2019,30-34,4831,47437
Estonia,2019,35-39,2657,44816
Estonia,2019,40-44,694,44218
Estonia,2019,45-49,48,45292
Estonia,2020,15-19,245,30701
Estonia,2020,20-24,1292,30694
Estonia,2020,25-29,3548,38958
Estonia,2020,30-34,4735,47901
Estonia,2020,35-39,2644,45758
Estonia,2020,40-44,684,44080
Estonia,2020,45-49,50,45307
Estonia,2021,15-19,181,31410
Estonia,2021,20-24,1195,30268
Estonia,2021,25-29,3440,36238
Estonia,2021,30-34,4883,47974
Estonia,2021,35-39,2763,46357
Estonia,2021,40-44,751,44240
Estonia,2021,45-49,55,44861
Estonia,2022,15-19,173,32495
Estonia,2022,20-24,1168,29967
Estonia,2022,25-29,2935,34775
Estonia,2022,30-34,4129,47216
Estonia,2022,35-39,2492,47042
Estonia,2022,40-44,689,44184
Estonia,2022,45-49,54,44632
Estonia,2023,15-19,162,35197
Estonia,2023,20-24,1144,31832
Estonia,2023,25-29,2660,34726
Estonia,2023,30-34,3749,48167
Estonia,2023,35-39,2448,50475
Estonia,2023,40-44,728,46424
Estonia,2023,45-49,53,45834
Finland,2015,15-19,914,150090
Finland,2015,20-24,7726,167324
Finland,2015,25-29,16294,165545
Finland,2015,30-34,18963,172264
Finland,2015,35-39,9571,167323
Finland,2015,40-44,1881,154103
Finland,2015,45-49,114,177605
Finland,2016,15-19,804,147120
Finland,2016,20-24,7118,165884
Finland,2016,25-29,15515,166960
Finland,2016,30-34,17647,173017
Finland,2016,35-39,9385,168005
Finland,2016,40-44,2202,155047
Finland,2016,45-49,131,173099
Finland,2017,15-19,704,145470
Finland,2017,20-24,6363,163243
Finland,2017,25-29,14733,169295
Finland,2017,30-34,17120,172559
Finland,2017,35-39,9124,168331
Finland,2017,40-44,2132,157901
Finland,2017,45-49,131,167853
Finland,2018,15-19,622,143840
Finland,2018,20-24,5692,159738
Finland,2018,25-29,13895,172102
Finland,2018,30-34,16070,170593
Finland,2018,35-39,9099,169737
Finland,2018,40-44,2083,161943
Finland,2018,45-49,108,161558
Finland,2019,15-19,592,144041
Finland,2019,20-24,5213,155877
Finland,2019,25-29,13049,172237
Finland,2019,30-34,15558,169564
Finland,2019,35-39,8987,172424
Finland,2019,40-44,2053,166596
Finland,2019,45-49,157,155005
Finland,2020,15-19,560,144441
Finland,2020,20-24,4900,152265
Finland,2020,25-29,13227,172593
Finland,2020,30-34,16208,169653
Finland,2020,35-39,9302,174660
Finland,2020,40-44,2116,168547
Finland,2020,45-49,138,154391
Finland,2021,15-19,543,145710
Finland,2021,20-24,4573,149232
Finland,2021,25-29,13684,171182
Finland,2021,30-34,17956,171633
Finland,2021,35-39,10171,175975
Finland,2021,40-44,2500,169595
Finland,2021,45-49,161,155532
Finland,2022,15-19,487,147886
Finland,2022,20-24,4174,147810
Finland,2022,25-29,12111,169118
Finland,2022,30-34,16261,174584
Finland,2022,35-39,9340,175888
Finland,2022,40-44,2391,170339
Finland,2022,45-49,185,158628
Finland,2023,15-19,472,150416
Finland,2023,20-24,3983,147012
Finland,2023,25-29,11170,167020
Finland,2023,30-34,16126,179506
Finland,2023,35-39,9075,175371
Finland,2023,40-44,2353,172759
Finland,2023,45-49,194,163165
France,2015,15-19,18160,1962182
France,2015,20-24,102489,1899097
France,2015,25-29,250462,2014989
France,2015,30-34,262999,2117245
France,2015,35-39,131545,2053744
France,2015,40-44,31763,2296245
France,2015,45-49,1904,2284457
France,2016,15-19,17048,1988916
France,2016,20-24,97377,1872340
France,2016,25-29,241834,2006645
France,2016,30-34,260235,2097544
France,2016,35-39,134148,2089350
France,2016,40-44,31502,2249560
France,2016,45-49,1866,2277202
France,2017,15-19,16035,1997008
France,2017,20-24,92908,1857412
France,2017,25-29,233357,1982147
France,2017,30-34,256908,2092559
France,2017,35-39,136619,2131043
France,2017,40-44,31749,2186738
France,2017,45-49,2100,2277292
France,2018,15-19,15429,2014596
France,2018,20-24,89262,1843790
France,2018,25-29,224827,1966243
France,2018,30-34,257081,2085968
France,2018,35-39,137865,2165084
France,2018,40-44,32254,2132379
France,2018,45-49,2144,2297769
France,2019,15-19,15188,2032847
France,2019,20-24,89028,1859255
France,2019,25-29,218059,1924557
France,2019,30-34,257585,2096282
France,2019,35-39,138535,2177463
France,2019,40-44,32973,2090250
France,2019,45-49,2297,2311688
France,2020,15-19,14184,2031773
France,2020,20-24,85598,1869816
France,2020,25-29,209830,1901475
France,2020,30-34,252957,2101017
France,2020,35-39,137238,2180449
France,2020,40-44,33521,2081083
France,2020,45-49,2121,2290167
France,2021,15-19,12986,2019658
France,2021,20-24,81035,1899877
France,2021,25-29,206228,1896418
France,2021,30-34,261115,2101619
France,2021,35-39,143464,2172867
France,2021,40-44,35284,2124524
France,2021,45-49,2170,2251473
France,2022,15-19,12900,2027196
France,2022,20-24,80831,1925750
France,2022,25-29,200594,1904020
France,2022,30-34,251837,2104765
France,2022,35-39,141388,2181290
France,2022,40-44,36256,2181417
France,2022,45-49,2375,2194021
France,2023,15-19,12413,2039601
France,2023,20-24,76970,1940741
France,2023,25-29,184747,1904671
France,2023,30-34,231561,2098615
France,2023,35-39,135160,2178751
France,2023,40-44,34690,2216380
France,2023,45-49,2423,2142636
Greece,2015,15-19,2198,263919
Greece,2015,20-24,7388,282664
Greece,2015,25-29,20679,304486
Greece,2015,30-34,34264,372106
Greece,2015,35-39,21726,406955
Greece,2015,40-44,4749,414970
Greece,2015,45-49,670,420075
Greece,2016,15-19,2416,262253
Greece,2016,20-24,7644,274232
Greece,2016,25-29,20292,297884
Greece,2016,30-34,33842,351318
Greece,2016,35-39,22510,404069
Greece,2016,40-44,5258,410599
Greece,2016,45-49,744,424661
Greece,2017,15-19,2279,262203
Greece,2017,20-24,7344,269192
Greece,2017,25-29,19107,292302
Greece,2017,30-34,31236,333768
Greece,2017,35-39,22184,398726
Greece,2017,40-44,5385,408224
Greece,2017,45-49,795,424570
Greece,2018,15-19,2226,262457
Greece,2018,20-24,7225,265852
Greece,2018,25-29,18316,289043
Greece,2018,30-34,29781,316231
Greece,2018,35-39,22140,393219
Greece,2018,40-44,5614,405328
Greece,2018,45-49,920,419030
Greece,2019,15-19,2209,262687
Greece,2019,20-24,6909,265850
Greece,2019,25-29,17129,279643
Greece,2019,30-34,28562,305389
Greece,2019,35-39,21839,382507
Greece,2019,40-44,5940,404656
Greece,2019,45-49,943,412102
Greece,2020,15-19,2234,262338
Greece,2020,20-24,7193,266429
Greece,2020,25-29,17535,274065
Greece,2020,30-34,28524,298181
Greece,2020,35-39,22054,367204
Greece,2020,40-44,6117,402081
Greece,2020,45-49,858,408394
Greece,2021,15-19,1929,261827
Greece,2021,20-24,6207,267375
Greece,2021,25-29,16813,268852
Greece,2021,30-34,29025,293623
Greece,2021,35-39,22931,348759
Greece,2021,40-44,6997,400046
Greece,2021,45-49,1128,404647
Greece,2022,15-19,1893,256688
Greece,2022,20-24,5673,248915
Greece,2022,25-29,15256,255428
Greece,2022,30-34,25426,278304
Greece,2022,35-39,19961,338474
Greece,2022,40-44,6230,395306
Greece,2022,45-49,1148,402096
Greece,2023,15-19,1934,257521
Greece,2023,20-24,5387,250400
Greece,2023,25-29,14139,251170
Greece,2023,30-34,23708,273403
Greece,2023,35-39,18390,322529
Greece,2023,40-44,6174,389862
Greece,2023,45-49,1171,402299
Hungary,2015,15-19,5682,250212
Hungary,2015,20-24,13363,298959
Hungary,2015,25-29,23104,297239
Hungary,2015,30-34,27737,315880
Hungary,2015,35-39,18136,411124
Hungary,2015,40-44,3899,371555
Hungary,2015,45-49,129,336387
Hungary,2016,15-19,6021,241622
Hungary,2016,20-24,13792,291830
Hungary,2016,25-29,24156,297661
Hungary,2016,30-34,28531,305124
Hungary,2016,35-39,18360,391457
Hungary,2016,40-44,4274,389340
Hungary,2016,45-49,147,346174
Hungary,2017,15-19,5480,235841
Hungary,2017,20-24,13406,281802
Hungary,2017,25-29,24352,298662
Hungary,2017,30-34,28378,296636
Hungary,2017,35-39,18176,372000
Hungary,2017,40-44,4606,403421
Hungary,2017,45-49,173,352621
Hungary,2018,15-19,5226,234644
Hungary,2018,20-24,13077,271824
Hungary,2018,25-29,24279,300073
Hungary,2018,30-34,28550,293769
Hungary,2018,35-39,17238,351769
Hungary,2018,40-44,4837,414062
Hungary,2018,45-49,179,354338
Hungary,2019,15-19,4991,233706
Hungary,2019,20-24,12934,262476
Hungary,2019,25-29,25211,300790
Hungary,2019,30-34,28006,294145
Hungary,2019,35-39,16918,333388
Hungary,2019,40-44,4750,420717
Hungary,2019,45-49,226,354782
Hungary,2020,15-19,5065,234404
Hungary,2020,20-24,12759,251709
Hungary,2020,25-29,25507,300737
Hungary,2020,30-34,28929,296588
Hungary,2020,35-39,16589,317712
Hungary,2020,40-44,4606,410805
Hungary,2020,45-49,280,369055
Hungary,2021,15-19,4490,234349
Hungary,2021,20-24,12359,242858
Hungary,2021,25-29,25904,296518
Hungary,2021,30-34,29589,297883
Hungary,2021,35-39,16813,307465
Hungary,2021,40-44,4456,391972
Hungary,2021,45-49,329,386872
Hungary,2022,15-19,3984,237126
Hungary,2022,20-24,11817,238016
Hungary,2022,25-29,25134,289016
Hungary,2022,30-34,28529,300528
Hungary,2022,35-39,15674,300868
Hungary,2022,40-44,4112,374139
Hungary,2022,45-49,348,402156
Hungary,2023,15-19,3922,237883
Hungary,2023,20-24,10963,252063
Hungary,2023,25-29,24277,274063
Hungary,2023,30-34,27973,298414
Hungary,2023,35-39,16041,301336
Hungary,2023,40-44,4026,353231
Hungary,2023,45-49,393,414857
Iceland,2015,15-19,87,10814
Iceland,2015,20-24,660,12156
Iceland,2015,25-29,1341,11395
Iceland,2015,30-34,1213,11405
Iceland,2015,35-39,677,10784
Iceland,2015,40-44,140,10464
Iceland,2015,45-49,11,10552
Iceland,2016,15-19,72,10860
Iceland,2016,20-24,592,12094
Iceland,2016,25-29,1305,11787
Iceland,2016,30-34,1218,11239
Iceland,2016,35-39,672,11029
Iceland,2016,40-44,157,10702
Iceland,2016,45-49,18,10316
Iceland,2017,15-19,65,10809
Iceland,2017,20-24,601,12177
Iceland,2017,25-29,1363,12206
Iceland,2017,30-34,1221,11232
Iceland,2017,35-39,659,11273
Iceland,2017,40-44,148,10881
Iceland,2017,45-49,12,10161
Iceland,2018,15-19,58,10836
Iceland,2018,20-24,602,12390
Iceland,2018,25-29,1454,13047
Iceland,2018,30-34,1254,11554
Iceland,2018,35-39,699,11665
Iceland,2018,40-44,144,10875
Iceland,2018,45-49,15,10483
Iceland,2019,15-19,48,10909
Iceland,2019,20-24,574,12473
Iceland,2019,25-29,1496,13769
Iceland,2019,30-34,1378,12006
Iceland,2019,35-39,751,12011
Iceland,2019,40-44,181,10991
Iceland,2019,45-49,23,10867
Iceland,2020,15-19,52,10954
Iceland,2020,20-24,563,12519
Iceland,2020,25-29,1546,14239
Iceland,2020,30-34,1472,12572
Iceland,2020,35-39,690,12081
Iceland,2020,40-44,171,11454
Iceland,2020,45-49,18,10958
Iceland,2021,15-19,36,10931
Iceland,2021,20-24,560,12407
Iceland,2021,25-29,1737,14188
Iceland,2021,30-34,1557,13204
Iceland,2021,35-39,792,12190
Iceland,2021,40-44,185,11758
Iceland,2021,45-49,12,11306
Iceland,2022,15-19,35,11189
Iceland,2022,20-24,518,12594
Iceland,2022,25-29,1453,14449
Iceland,2022,30-34,1504,13829
Iceland,2022,35-39,694,12316
Iceland,2022,40-44,171,12015
Iceland,2022,45-49,16,11532
Iceland,2023,15-19,43,11536
Iceland,2023,20-24,465,12848
Iceland,2023,25-29,1418,14760
Iceland,2023,30-34,1554,14699
Iceland,2023,35-39,667,12685
Iceland,2023,40-44,154,12508
Iceland,2023,45-49,12,11603
Ireland,2015,15-19,1194,143416
Ireland,2015,20-24,5705,136121
Ireland,2015,25-29,12322,156041
Ireland,2015,30-34,23684,193376
Ireland,2015,35-39,18451,191499
Ireland,2015,40-44,3955,177369
Ireland,2015,45-49,204,158193
Ireland,2016,15-19,1099,146199
Ireland,2016,20-24,5217,135231
Ireland,2016,25-29,11357,152429
Ireland,2016,30-34,23012,188830
Ireland,2016,35-39,18775,196461
Ireland,2016,40-44,4079,178949
Ireland,2016,45-49,287,161582
Ireland,2017,15-19,1034,150561
Ireland,2017,20-24,5115,136221
Ireland,2017,25-29,10781,149736
Ireland,2017,30-34,21653,183859
Ireland,2017,35-39,18944,202145
Ireland,2017,40-44,3971,183070
Ireland,2017,45-49,306,166282
Ireland,2018,15-19,955,154567
Ireland,2018,20-24,5070,140727
Ireland,2018,25-29,10486,146420
Ireland,2018,30-34,20881,176696
Ireland,2018,35-39,19010,204936
Ireland,2018,40-44,4301,186191
Ireland,2018,45-49,299,170533
Ireland,2019,15-19,854,157388
Ireland,2019,20-24,4684,146228
Ireland,2019,25-29,10015,145705
Ireland,2019,30-34,20280,173525
Ireland,2019,35-39,18784,207087
Ireland,2019,40-44,4301,192958
Ireland,2019,45-49,338,176163
Ireland,2020,15-19,780,160728
Ireland,2020,20-24,4149,151445
Ireland,2020,25-29,9288,147379
Ireland,2020,30-34,19084,170846
Ireland,2020,35-39,17715,202712
Ireland,2020,40-44,4557,198130
Ireland,2020,45-49,359,181472
Ireland,2021,15-19,706,161012
Ireland,2021,20-24,4278,152857
Ireland,2021,25-29,9834,147235
