country,year,age_group_5,deaths,population
Belgium,2001,20-24,489,635654
Belgium,2001,25-29,526,678093
Belgium,2001,30-34,649,748946
Belgium,2001,35-39,938,812192
Belgium,2001,40-44,1523,784150
Belgium,2001,45-49,2274,722954
Belgium,2001,5-9,99,610756
Belgium,2001,50-54,3199,692077
Belgium,2001,55-59,3809,529034
Belgium,2001,60-64,5112,518355
Belgium,2001,65-69,8052,509980
Belgium,2001,70-74,12073,462437
Belgium,2001,75-79,16879,381965
Belgium,2001,80-84,15272,190663
Belgium,2001,85+,31476,184690
Belgium,2002,0-4,619,575795
Belgium,2002,10-14,88,627214
Belgium,2002,15-19,282,603698
Belgium,2002,20-24,450,642378
Belgium,2002,25-29,498,663105
Belgium,2002,30-34,595,744055
Belgium,2002,35-39,921,809427
Belgium,2002,40-44,1400,793832
Belgium,2002,45-49,2239,736397
Belgium,2002,5-9,87,602236
Belgium,2002,50-54,3232,689050
Belgium,2002,55-59,4095,575266
Belgium,2002,60-64,5057,500880
Belgium,2002,65-69,7919,499825
Belgium,2002,70-74,12038,468108
Belgium,2002,75-79,17080,383180
Belgium,2002,80-84,17439,216487
Belgium,2002,85+,31603,178792
Belgium,2003,0-4,585,572656
Belgium,2003,10-14,91,635185
Belgium,2003,15-19,253,604669
Belgium,2003,20-24,447,645771
Belgium,2003,25-29,492,654800
Belgium,2003,30-34,538,740416
Belgium,2003,35-39,871,801960
Belgium,2003,40-44,1371,801534
Belgium,2003,45-49,2183,746784
Belgium,2003,5-9,58,594858
Belgium,2003,50-54,3162,692146
Belgium,2003,55-59,4340,612865
Belgium,2003,60-64,4928,489810
Belgium,2003,65-69,7493,492647
Belgium,2003,70-74,12067,473652
Belgium,2003,75-79,17040,383993
Belgium,2003,80-84,19867,242252
Belgium,2003,85+,31253,169846
Belgium,2004,0-4,553,571374
Belgium,2004,10-14,68,635993
Belgium,2004,15-19,256,611017
Belgium,2004,20-24,405,645006
Belgium,2004,25-29,448,652039
Belgium,2004,30-34,559,732319
Belgium,2004,35-39,807,788716
Belgium,2004,40-44,1354,808508
Belgium,2004,45-49,2079,759489
Belgium,2004,5-9,56,590072
Belgium,2004,50-54,3144,695175
Belgium,2004,55-59,4122,638422
Belgium,2004,60-64,4675,488171
Belgium,2004,65-69,6924,493967
Belgium,2004,70-74,11182,473162
Belgium,2004,75-79,16102,384354
Belgium,2004,80-84,20212,267180
Belgium,2004,85+,28308,161457
Belgium,2005,0-4,561,574859.0
Belgium,2005,10-14,80,630885.0
Belgium,2005,15-19,229,619183.0
Belgium,2005,20-24,353,641765.0
Belgium,2005,25-29,413,655762.0
Belgium,2005,30-34,526,719497.0
Belgium,2005,35-39,763,773719.0
Belgium,2005,40-44,1358,814992.0
Belgium,2005,45-49,2109,772462.0
Belgium,2005,5-9,77,589114.0
Belgium,2005,50-54,3058,703492.0
Belgium,2005,55-59,4375,656486.0
Belgium,2005,60-64,4896,494136.0
Belgium,2005,65-69,7046,493991.0
Belgium,2005,70-74,11159,471751.0
Belgium,2005,75-79,15722,386106.0
Belgium,2005,80-84,20555,282073.0
Belgium,2005,85+,29998,165579.0
Belgium,2006,0-4,598,580368.0
Belgium,2006,10-14,73,623731.0
Belgium,2006,15-19,223,632604.0
Belgium,2006,20-24,356,637168.0
Belgium,2006,25-29,424,667765.0
Belgium,2006,30-34,543,703395.0
Belgium,2006,35-39,797,766820.0
Belgium,2006,40-44,1279,818710.0
Belgium,2006,45-49,2080,782371.0
Belgium,2006,5-9,64,592003.0
Belgium,2006,50-54,3016,714021.0
Belgium,2006,55-59,4254,675073.0
Belgium,2006,60-64,5073,508336.0
Belgium,2006,65-69,6702,487826.0
Belgium,2006,70-74,10264,462644.0
Belgium,2006,75-79,15552,392695.0
Belgium,2006,80-84,20094,286129.0
Belgium,2006,85+,30195,179723.0
Belgium,2007,0-4,593,590156.0
Belgium,2007,10-14,83,615713.0
Belgium,2007,15-19,248,643400.0
Belgium,2007,20-24,378,637132.0
Belgium,2007,25-29,385,678363.0
Belgium,2007,30-34,520,691381.0
Belgium,2007,35-39,759,762997.0
Belgium,2007,40-44,1238,816756.0
Belgium,2007,45-49,2022,793170.0
Belgium,2007,5-9,53,591860.0
Belgium,2007,50-54,3104,727852.0
Belgium,2007,55-59,4179,672805.0
Belgium,2007,60-64,5283,552887.0
Belgium,2007,65-69,6392,471769.0
Belgium,2007,70-74,9880,455134.0
Belgium,2007,75-79,15164,399520.0
Belgium,2007,80-84,19367,288964.0
Belgium,2007,85+,31010,194675.0
Belgium,2008,0-4,570,600728.0
Belgium,2008,10-14,64,609619.0
Belgium,2008,15-19,248,652315.0
Belgium,2008,20-24,344,640516.0
Belgium,2008,25-29,437,686192.0
Belgium,2008,30-34,465,686601.0
Belgium,2008,35-39,761,761910.0
Belgium,2008,40-44,1258,811766.0
Belgium,2008,45-49,2066,802015.0
Belgium,2008,5-9,58,590108.0
Belgium,2008,50-54,3179,739278.0
Belgium,2008,55-59,4473,676975.0
Belgium,2008,60-64,5800,589117.0
Belgium,2008,65-69,6456,461720.0
Belgium,2008,70-74,9615,450437.0
Belgium,2008,75-79,15278,406356.0
Belgium,2008,80-84,19992,292033.0
Belgium,2008,85+,33523,209180.0
Belgium,2009,0-4,566,617537.0
Belgium,2009,10-14,65,606338.0
Belgium,2009,15-19,202,654046.0
Belgium,2009,20-24,342,650740.0
Belgium,2009,25-29,407,690986.0
Belgium,2009,30-34,481,689150.0
Belgium,2009,35-39,751,756734.0
Belgium,2009,40-44,1221,801519.0
Belgium,2009,45-49,1970,810856.0
Belgium,2009,5-9,53,591001.0
Belgium,2009,50-54,3207,753160.0
Belgium,2009,55-59,4350,680408.0
Belgium,2009,60-64,5701,613827.0
Belgium,2009,65-69,6344,460265.0
Belgium,2009,70-74,9481,452608.0
Belgium,2009,75-79,14703,407196.0
Belgium,2009,80-84,19647,294423.0
Belgium,2009,85+,34362,222286.0
Belgium,2010,0-4,570,628734.0
Belgium,2010,10-14,69,606994.0
Belgium,2010,15-19,190,650632.0
Belgium,2010,20-24,358,660718.0
Belgium,2010,25-29,443,691709.0
Belgium,2010,30-34,476,698056.0
Belgium,2010,35-39,726,747726.0
Belgium,2010,40-44,1120,789754.0
Belgium,2010,45-49,1954,820067.0
Belgium,2010,5-9,51,596506.0
Belgium,2010,50-54,3049,767527.0
Belgium,2010,55-59,4203,689451.0
Belgium,2010,60-64,6024,631872.0
Belgium,2010,65-69,6507,466145.0
Belgium,2010,70-74,9376,453287.0
Belgium,2010,75-79,14486,407579.0
Belgium,2010,80-84,19599,297727.0
Belgium,2010,85+,35951,235421.0
Belgium,2011,0-4,546,645512
Belgium,2011,10-14,64,614460
Belgium,2011,15-19,205,649018
Belgium,2011,20-24,339,684094
Belgium,2011,25-29,428,700373
Belgium,2011,30-34,485,722935
Belgium,2011,35-39,658,741202
Belgium,2011,40-44,1106,789891
Belgium,2011,45-49,1886,828165
Belgium,2011,5-9,69,607325
Belgium,2011,50-54,2981,781240
Belgium,2011,55-59,4424,702335
Belgium,2011,60-64,6004,650906
Belgium,2011,65-69,6603,480200
Belgium,2011,70-74,9051,448375
Belgium,2011,75-79,13675,401594
Belgium,2011,80-84,19174,304788
Belgium,2011,85+,36594,248225
Belgium,2012,0-4,591,650440
Belgium,2012,10-14,75,614155
Belgium,2012,15-19,191,642314
Belgium,2012,20-24,307,695080
Belgium,2012,25-29,345,701310
Belgium,2012,30-34,474,731968
Belgium,2012,35-39,650,729589
Belgium,2012,40-44,1065,786663
Belgium,2012,45-49,1802,826596
Belgium,2012,5-9,65,616275
Belgium,2012,50-54,3097,792169
Belgium,2012,55-59,4395,715866
Belgium,2012,60-64,5963,648725
Belgium,2012,65-69,7188,522162
Belgium,2012,70-74,9103,433413
Belgium,2012,75-79,13499,396646
Belgium,2012,80-84,19885,312304
Belgium,2012,85+,40381,260214
Belgium,2013,0-4,547,652368
Belgium,2013,10-14,48,611305
Belgium,2013,15-19,166,635280
Belgium,2013,20-24,302,703207
Belgium,2013,25-29,384,704204
Belgium,2013,30-34,416,737788
Belgium,2013,35-39,666,723159
Belgium,2013,40-44,1063,783980
Belgium,2013,45-49,1775,820548
Belgium,2013,5-9,57,627941
Belgium,2013,50-54,2908,800063
Belgium,2013,55-59,4359,726692
Belgium,2013,60-64,5897,651981
Belgium,2013,65-69,7621,555370
Belgium,2013,70-74,8865,423593
Belgium,2013,75-79,13411,393422
Belgium,2013,80-84,19640,318451
Belgium,2013,85+,41209,268622
Belgium,2014,0-4,512,648331
Belgium,2014,10-14,65,611000
Belgium,2014,15-19,178,629626
Belgium,2014,20-24,297,701351
Belgium,2014,25-29,332,709177
Belgium,2014,30-34,449,736260
Belgium,2014,35-39,594,721704
Belgium,2014,40-44,1033,775999
Belgium,2014,45-49,1658,809626
Belgium,2014,5-9,44,640984
Belgium,2014,50-54,2766,808195
Belgium,2014,55-59,4214,739423
Belgium,2014,60-64,5545,654989
Belgium,2014,65-69,7652,578204
Belgium,2014,70-74,8292,422207
Belgium,2014,75-79,12446,395867
Belgium,2014,80-84,18575,320754
Belgium,2014,85+,40103,277143
Belgium,2015,0-4,486,644413
Belgium,2015,10-14,58,614953
Belgium,2015,15-19,143,628388
Belgium,2015,20-24,300,695568
Belgium,2015,25-29,312,716082
Belgium,2015,30-34,442,733730
Belgium,2015,35-39,608,727252
Belgium,2015,40-44,966,765155
Belgium,2015,45-49,1658,796802
Belgium,2015,5-9,58,651380
Belgium,2015,50-54,2696,816282
Belgium,2015,55-59,4341,753004
Belgium,2015,60-64,5997,663321
Belgium,2015,65-69,7798,594460
Belgium,2015,70-74,8513,427869
Belgium,2015,75-79,12963,397254
Belgium,2015,80-84,19180,322955
Belgium,2015,85+,44022,288406
Belgium,2016,0-4,464,638176
Belgium,2016,10-14,43,620458
Belgium,2016,15-19,151,634837
Belgium,2016,20-24,265,691260
Belgium,2016,25-29,356,731621
Belgium,2016,30-34,456,730150
Belgium,2016,35-39,601,740377
Belgium,2016,40-44,950,750305
Belgium,2016,45-49,1577,791274
